CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8496_1_ARS,Swab1-145,8496,1,ARS,Swab,2,166,Second,Swab_Second,0.4464878,101,Mid,Middle,Second,Second.Middle,26194,,,,,
8466_1_ARS,Swab1-146,8466,1,ARS,Swab,3,117,Multi,Swab_Multi,0.3799976,117,High,Middle,Third,Third.Middle,13146,,,,,
8486_1_ARS,Swab1-152,8486,1,ARS,Swab,2,124,Second,Swab_Second,0.4014788,107,Mid,Middle,Second,Second.Middle,17048,8/26/2019,36.1,30.6,0.2,1.2
8518_1_ARS,Swab1-153,8518,1,ARS,Swab,3,163,Multi,Swab_Multi,0.4301796,132,High,Middle,Third,Third.Middle,11244,,,,,
8714_1_ARS,Swab1-154,8714,1,ARS,Swab,1,359,First,Swab_First,0.3870631,52.3,Low,Late,First,First.Late,13595,,,,,
8740_1_ARS,Swab1-155,8740,1,ARS,Swab,1,282,First,Swab_First,0.3759353,74,Mid,Late,First,First.Late,13080,,,,,
8817_1_ARS,Swab1-156,8817,1,ARS,Swab,1,287,First,Swab_First,0.3795514,93,Mid,Late,First,First.Late,20812,,,,,
8458_1_ARS,Swab1-157,8458,1,ARS,Swab,2,150,Second,Swab_Second,0.4925502,84.9,Mid,Middle,Second,Second.Middle,40219,,,,,
8875_1_ARS,Swab1-158,8875,1,ARS,Swab,2,202,Second,Swab_Second,0.4066082,79.8,Mid,Late,Second,Second.Late,23920,,,,,
8685_1_ARS,Swab1-159,8685,1,ARS,Swab,1,405,First,Swab_First,0.3911933,60.2,Low,Late,First,First.Late,14474,,,,,
8934_1_ARS,Swab1-160,8934,1,ARS,Swab,1,167,First,Swab_First,0.3997,62,Low,Middle,First,First.Middle,8548,,,,,
8801_1_ARS,Swab1-161,8801,1,ARS,Swab,2,298,Second,Swab_Second,0.395429,119,High,Late,Second,Second.Late,15845,,,,,
8809_1_ARS,Swab1-162,8809,1,ARS,Swab,1,294,First,Swab_First,0.4652596,80.5,Mid,Late,First,First.Late,21302,,,,,
