"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comp","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1179",30.052987580584,5.81297917132336,2.37086304252581,2.45184098240044,0.0142127455447278,0.048764305344459,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Unclassified"
"ASV1216",57.2094005487268,-7.37847602324572,3.01640650976228,-2.44611460669046,0.0144405089638016,0.048764305344459,"GFE","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Unclassified"
"ASV185",58.625841561846,5.78128009979032,2.3738413635213,2.435411307862,0.0148748706989358,0.0488598183374765,"GFE","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ruminantium group","Unclassified"
"ASV182",199.445015660672,-9.26897134540736,2.22892609776023,-4.15849199967708,3.20355450564436e-05,0.00621489574095007,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","Unclassified"
"ASV95",189.030431680236,-8.43081807121303,2.11395043440068,-3.98818152687824,6.6581709171963e-05,0.00645842578968041,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV129",81.9116441687018,-6.32583670091313,1.68982953695469,-3.743476227971,0.000181491780325637,0.00880235134579341,"RFI","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Unclassified"
"ASV429",56.2610592056197,-6.05747296101509,1.61002056797537,-3.76235750120414,0.00016831921378513,0.00880235134579341,"RFI","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Unclassified"
"ASV245",66.1033977786954,-7.32133113106436,2.00271682819982,-3.6556996116347,0.000256481545119041,0.00995148395061879,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV188",55.6389930617318,-7.58607574716547,2.10456089558669,-3.60458837901704,0.000312648046544971,0.0101089535049541,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV101",655.446292283825,-5.92757995275017,1.80627491697802,-3.28165989409147,0.00103197996384062,0.0260491100008408,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","ruminicola"
"ASV102",58.9761274272485,-5.48802184023845,1.69546925775063,-3.23687487410972,0.00120846386601839,0.0260491100008408,"RFI","Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium] coprostanoligenes group","Unclassified","Unclassified"
"ASV155",85.1812344962436,-9.01356197401173,2.76797425812624,-3.2563749274581,0.00112844634237624,0.0260491100008408,"RFI","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Sharpea","azabuensis"
"ASV75",1165.65825578996,-6.04135106723333,1.91250322215826,-3.15887105299393,0.00158381549805164,0.0272489316758571,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV232",606.312847479486,-6.00220785826356,1.96244825886453,-3.05853050196413,0.00222425434790019,0.0272489316758571,"RFI","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum","Unclassified"
"ASV27",207.037402009248,4.94954844004604,1.58785531667169,3.11712810863701,0.00182622194786506,0.0272489316758571,"RFI","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Unclassified"
"ASV103",137.232429395633,-6.69625535209852,2.18679297516371,-3.06213502062179,0.0021976429826052,0.0272489316758571,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Unclassified","Unclassified"
"ASV117",146.504605160761,-6.64088839545433,2.14466119533409,-3.09647435683651,0.00195836799668629,0.0272489316758571,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV138",144.145326431717,-6.12932441101043,1.96819310383387,-3.11418854129254,0.00184451581859891,0.0272489316758571,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV2151",80.4196414379147,-6.393220277924,2.09240841212365,-3.05543613803163,0.00224733457120471,0.0272489316758571,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium] ruminantium group","Unclassified"
"ASV136",163.677056901537,-6.52155529485047,2.14797588415835,-3.03613990405942,0.00239628148235777,0.0273458004457298,"RFI","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Unclassified","Unclassified"
"ASV164",47.2027508007662,-6.22402096249161,2.08299783620114,-2.98801124721408,0.00280799220700892,0.0286710783241964,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae NK3A20 group","Unclassified"
"ASV195",86.0804759476966,-6.52836346628633,2.17477761138149,-3.00185335370419,0.00268341409189432,0.0286710783241964,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Shuttleworthia","Unclassified"
"ASV821",133.699850266487,-6.26252332318885,2.13467376224917,-2.93371447850206,0.0033493215828023,0.0295349266847112,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","ruminicola"
"ASV112",79.3901128807032,-5.53145673604754,1.86959927437238,-2.95863226514379,0.00309007602814917,0.0295349266847112,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV201",130.583968953048,-7.61021012924404,2.58963987100913,-2.93871368542009,0.00329577378999583,0.0295349266847112,"RFI","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Succiniclasticum","Unclassified"
"ASV461",544.247359223678,-6.24076198958846,2.17077494435335,-2.87490050768369,0.00404154828960975,0.0301561680070881,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV1161",115.060421181499,-5.78085184093471,1.99925862196086,-2.89149776693968,0.00383410317360489,0.0301561680070881,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified"
"ASV171",58.3599547056548,-7.21705674787303,2.48909968103222,-2.89946473532958,0.00373800390943543,0.0301561680070881,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified","Unclassified"
"ASV479",67.9916443302222,-6.96681518783592,2.41340237237348,-2.88671929206084,0.00389281365685876,0.0301561680070881,"RFI","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Oribacterium","Unclassified"
"ASV83",149.056151823651,-5.93313567944395,2.07797043277117,-2.85525510174442,0.00430022729879377,0.0308979294802219,"RFI","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Saccharofermentans","Unclassified"
"ASV1681",74.5518916854321,-5.60237850728826,1.97381871621228,-2.83834501176436,0.00453481365358664,0.031419780314136,"RFI","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","Unclassified"
